Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3714013158703,39.843910788734,43.5377256442286,43.9119620044496,44.9527024888002,43.7416955243297,43.4054369093825,39.0393011529661,40.5807388764015,39.4277071478434,43.411804237024,42.3315391403919,41.1745226520116,44.5543337624562,44.1022758447941,44.825574629037,49.0974676258993,54.4378385848535,51.6812233642517,54.1656999041227,53.3127419354839,51.5460798974578,48.1143467643468,53.2143751397273,59.3855807431643,56.7878177037686,62.9079788406436,64.1309024020775,66.1940122285473,65.7063511830635,69.8105107640355,73.0696731485312,,
Afghanistan,AFG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,15.7272717524418,20.072874250127,21.27642233178,17.0059153484824,20.4249988652778,15.357616334766,10.8333335912698,9.91766218211001,14.4805821728014,15.2976971339514,13.610864877728,14.1630464215882,18.8808331366086,17.874151367274,16.1662246728833,14.6027585429469,16.0700325495868,13.8368224127733,15.4600676061998,18.0544146447902,12.8705830122564,16.3082487211099,,,,,,,,,,,,,,,,,,,,,,,,,-4.88313195682581,0.540675957972505,4.964943344365,4.8276746189501,4.78127813093516,-2.57726260304426,-1.98191286952519,-2.07088493544429,-0.607983748758687,-0.411140734651524,-1.18697784869419,-2.46913113860585,-5.3247182714035,
Angola,AGO,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6686155035197,4.77444609350407,10.027267885728,17.569505537679,7.21994885570439,-14.7554354298808,-0.319143226149962,4.09132131102715,5.27839030362826,5.61680791895606,1.87917944465968,-3.99577314973341,1.73530157709083,8.98428191178695,31.3369322605911,18.9611678819113,15.4976277701566,13.9477387314036,17.1393879941247,21.0548651481976,27.3915470639585,27.3349513337061,29.6126302932736,23.5945166616121,
Albania,ALB,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1094633025482,40.4676133792767,38.838209681907,56.4721132386812,60.2154344356002,53.2735875113088,51.1331598852584,50.0793642526482,48.1383017468151,47.1933468070215,47.2040977806036,50.5481756579819,55.9546367314248,62.2146793583646,66.5123159431392,68.3821828617142,66.7248156633227,69.5178261617555,68.227509301324,67.6636502220327,67.9747521785498,62.9559532110311,61.4979455824307,58.1699774598589,53.6462229522972,
Andorra,AND,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,12.7281999572833,16.1037442857233,17.8184833611756,19.6720786116977,21.1909850002808,29.2814841572076,29.4547698105163,30.9984818594058,27.7313615874672,29.7483224549392,29.487391484764,27.2390631753851,25.787730195622,22.7015343577175,5.81766653828196,2.88959946896226,1.43931798245176,4.72183186125581,14.6824774924901,16.0525638157694,10.8999538139384,3.15136468113521,7.51019055997748,15.1307048903414,22.8309200203589,29.849877528573,45.7153184203296,51.0485431792545,52.3957533012083,50.7975186182253,47.3571895791813,45.9063874502306,45.7679489734656,48.3524338209017,48.8317557532547,48.6306028649828,45.5879125960881,48.5276404316201,56.6687827767089,56.370838433804,49.8067245873168,53.5801670193442,53.5600264875466,52.065737461444,45.3835180715785,38.6120179908068,36.4839573468076,37.0768760170744,31.6649728366757,43.7623900703118,39.7348735003191,37.594721642992,34.4567544634037,38.2999460645213,45.5774371382453,64.6836119567152,77.1036578908882,73.5456450454331,,
United Arab Emirates,ARE,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,-0.716164671381339,3.35767768568595,15.7509271313181,20.3171871820759,16.33278863489,12.8315805861253,12.5001117328224,16.3152013506444,21.3791208136043,22.3162530081738,26.5502584608866,32.2068988088171,28.7530033450232,30.9626698829291,29.246679016418,23.1746477471925,24.0387123215063,25.6729679420376,26.437994436937,29.8668148918985,28.8915667324862,28.9109227823496,31.2747578462794,36.7537315707132,35.9295761588229,28.9378965733386,29.4677026556883,30.9960327299777,33.6187377097284,35.8534496256113,42.7401561749697,48.9889337434399,60.2023655058029,73.1155910850044,103.097486134591,93.0288542852955,82.1486837068195,76.711221472373,82.1915025791006,82.3787031727345,103.598096485006,107.592995375398,102.082020601908,91.2822567149392,
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,21.5194533813078,18.6442803062489,17.1721400331774,17.7929696897112,17.3031511185781,15.8552272712164,16.9982042975564,17.852012065644,19.9505022527324,19.7811650823246,21.0381609779716,24.0289311647216,22.3130737664628,28.5475028205003,32.2119979073412,28.7079368639926,19.787178510573,23.6381889324074,26.0410851685592,27.9736455899836,29.710447583952,41.595869596376,46.0962361285894,46.0715133802174,41.9555327972488,,,,,,32.31479093296,22.6575190809871,22.2729635209169,25.7123557071516,26.2406145121193,27.5732346891419,27.879490611327,29.9662523603509,31.9023519957049,34.7157923695785,33.7045530390257,36.5583398384982,61.9276220487555,50.3302643322395,41.6292507854527,34.6769644286774,27.7689287323189,25.3323505425291,21.4636291131315,25.24733072052,24.9211841498421,25.9830634761961,30.0611634660132,32.6410320868475,34.0577525540757,40.0918095238928,37.4890374553872,38.3340366419125,,
Armenia,ARM,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3084610496792,44.1264943463295,15.3008867650967,9.11622630255905,9.07057995445003,7.97194371922747,10.7303742407978,10.7499781436601,11.5475010947523,9.33487622516236,7.37800125867569,5.55947834031446,6.68419872197076,8.78898074953512,8.0640477509702,12.134288294191,18.593273703715,21.429240020015,27.7176704752817,36.2313730887364,41.1928847713631,42.9780076051676,51.2013480104901,48.1683534846644,54.3318428306746,58.3947022054019,62.7651666571311,
American Samoa,ASM,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
